No,Year_of_survey,District,lat,lon,CBSD_Severity,CBSD_Incidence,CMD_Mean_Severity ,CMD Incidence,Adult_Whitefly_Population,Mean_adult_whitefly_per_Plant
240,2008,Luwero,0.59984,32.66893,0,0,0,0,300,20
241,2008,Luwero,0.61786,32.6905,2,53.3,2.3,26.7,10,0.7
242,2008,Luwero,0.63958,32.5191,2.1,76.7,0,0,1,0.1
243,2008,Luwero,0.64947,32.70169,2,76.7,2,3.3,504,33.6
244,2008,Luwero,0.67965,32.69238,2,100,0,0,78,5.2
245,2008,Luwero,0.66938,32.66972,2,100,0,0,99,6.6
246,2008,Luwero,0.66597,32.65173,2,80,0,0,26,1.7
247,2008,Luwero,0.66106,32.63732,2,100,0,0,94,6.3
248,2008,Luwero,0.66951,32.61169,2,90,0,0,134,8.9
249,2008,Luwero,0.7039,32.60182,2,56.7,0,0,223,14.9
250,2008,Luwero,0.70456,32.52527,2,73.3,0,0,22,1.5
251,2008,Luwero,0.68695,32.52324,0,0,2,3.3,257,17.1
252,2008,Luwero,0.65083,32.53102,2,13.3,0,0,292,19.5
253,2008,Masaka,0.31072,31.73762,0,0,2.42,70,475,31.7
254,2008,Masaka,0.30651,31.77498,0,0,2.2,16.7,23,1.5
255,2008,Masaka,0.27818,31.79908,0,0,2,3.3,7,0.5
256,2008,Masaka,0.23731,31.83119,0,0,2.88,26.7,77,5.1
257,2008,Masaka,0.27818,31.79908,0,0,3,13.3,33,2.2
258,2008,Masaka,0.40915,31.68651,0,0,2.8,16.7,14,0.9
259,2008,Masaka,0.41701,31.67626,0,0,0,0,26,1.7
260,2008,Masaka,0.48144,31.65829,0,0,2.17,20,19,1.3
261,2008,Masaka,0.51212,31.62932,0,0,2.11,100,17,1.1
262,2008,Masaka,0.54119,31.61463,0,0,2.13,26.7,19,1.3
263,2008,Masaka,0.5709,31.89889,0,0,2.67,10,28,1.9
264,2008,Masaka,0.69705,31.52346,0,0,2.86,23.3,23,1.5
265,2008,Masaka,0.72039,31.51341,0,0,3,10,14,0.9
266,2008,Masaka,0.71394,31.51289,0,0,0,0,43,2.9
267,2008,Masaka,0.71804,31.51254,0,0,2.36,46.7,77,5.1
268,2008,Masindi,1.73291,31.79118,0,0,3.42,40,16,1.1
269,2008,Masindi,1.71457,31.70746,0,0,3.97,96.7,9,0.6
270,2008,Masindi,1.7644,31.78694,0,0,4.1,100,8,0.5
271,2008,Masindi,1.96594,31.75213,0,0,3.9,100,12,0.8
272,2008,Masindi,1.76592,31.76036,0,0,3.96,90,135,9
273,2008,Masindi,1.78151,31.85642,0,0,3.59,86.7,35,2.3
274,2008,Masindi,1.78542,31.89354,0,0,4,93.3,7,0.5
275,2008,Masindi,1.79022,31.88352,0,0,3.14,73.3,30,2
276,2008,Masindi,1.79745,31.89729,0,0,0,0,14,0.9
277,2008,Masindi,1.79791,31.89905,0,0,3.29,70,7,0.5
278,2008,Masindi,1.79036,31.93026,0,0,3.09,73.3,131,8.7
279,2008,Masindi,1.78839,31.92869,0,0,4,96.7,11,0.7
280,2008,Masindi,1.99203,31.94299,0,0,3.5,33.3,17,1.1
281,2008,Masindi,1.87262,32.05993,0,0,3.9,96.7,71,4.7
282,2008,Masindi,1.88887,32.07324,0,0,3.21,93.3,71,4.7
283,2008,Masindi,1.91863,32.13924,0,0,3.91,76.7,39,2.6
284,2008,Masindi,1.92333,32.13628,0,0,2.75,26.7,5,0.3
285,2008,Masindi,1.93285,32.13115,0,0,3.69,90,38,2.5
286,2008,Moyo,3.633,31.68299,0,0,0,0,3,0.2
287,2008,Moyo,3.63231,31.66378,0,0,2.89,30,6,0.4
288,2008,Moyo,3.61372,31.66047,0,0,2,3.3,17,1.1
289,2008,Moyo,3.60378,31.54126,0,0,0,0,10,0.7
290,2008,Moyo,3.60378,31.54126,0,0,2.18,36.7,13,0.9
291,2008,Moyo,3.58242,31.55442,0,0,0,0,23,1.5
292,2008,Moyo,3.6528,31.75965,0,0,0,0,13,0.9
293,2008,Moyo,3.6528,31.75965,0,0,0,0,7,0.5
294,2008,Moyo,3.63443,31.79637,0,0,3.17,60,10,0.7
295,2008,Moyo,3.64648,31.81226,0,0,2.92,40,13,0.9
296,2008,Moyo,3.7644,31.78508,0,0,2,3.3,14,0.9
297,2008,Moyo,3.7019,31.7681,0,0,2.67,30,5,0.3
298,2008,Moyo,3.7002,31.77712,0,0,3.1,33.3,7,0.5
299,2008,Moyo,3.69735,31.78812,0,0,0,0,14,0.9
300,2008,Moyo,3.73606,31.79204,0,0,0,0,14,0.9
301,2008,Moyo,3.74194,31.80008,0,0,2,3.3,12,0.8
302,2008,Moyo,3.63501,31.71958,0,0,0,0,22,1.5
303,2008,Moyo,3.62927,31.65742,0,0,0,0,11,0.7
304,2008,Moyo,3.62316,31.71867,0,0,3.13,100,4,0.3
305,2008,Moyo,3.64316,31.64639,0,0,0,0,2,0.1
306,2008,Mubende,0.45085,31.83038,2.4,46.7,2,6.7,9,0.6
307,2008,Mubende,0.4558,31.77486,0,0,2.5,26.7,1372,91.5
308,2008,Mubende,0.4558,31.77486,0,0,0,0,206,13.7
309,2008,Mubende,0.50593,31.55276,0,0,0,0,218,14.5
310,2008,Mubende,0.60589,31.39281,0,0,2.73,36.7,706,47.1
311,2008,Mubende,0.62725,31.38388,0,0,3,10,10,0.7
312,2008,Mubende,0.6536,31.36443,0,0,0,0,99,6.6
313,2008,Mubende,0.18473,31.1375,0,0,0,0,35,2.3
314,2008,Mukono,0.1444,31.56054,2.4,16.7,2.25,26.7,21,1.4
315,2008,Mukono,0.5444,32.76054,2.6,93.3,0,0,20,1.3
316,2008,Mukono,0.53379,32.77092,2,33.3,0,0,72,4.8
317,2008,Mukono,0.55887,32.77014,2,90,0,0,188,12.5
318,2008,Mukono,0.54405,32.75465,2,46.7,2.5,13.3,46,3.1
319,2008,Mukono,0.68056,32.88773,2,40,0,0,13,0.9
320,2008,Mukono,0.80359,32.87267,2.4,43.3,0,0,23,1.5
321,2008,Mukono,0.28185,32.78917,2.1,100,0,0,128,8.5
322,2008,Mukono,0.76327,32.89183,2,6.7,2,20,67,4.5
323,2008,Mukono,0.73075,32.893,2,33.3,2.5,26.7,59,3.9
324,2008,Mukono,0.25785,32.823,2,63.3,0,0,85,5.7
325,2008,Mukono,0.2631,32.83591,2,23.3,0,0,335,22.3
